sample_id,video_id,clip_id,word_count,text_dim,audio_frames,audio_valid_frames,vision_samples,vision_valid_samples,audio_observed_word_ratio,vision_observed_word_ratio,alignment_mean_confidence,alignment_low_confidence_words,nan_count,inf_count,status
-UuX1xuaiiE$_$6,-UuX1xuaiiE,6,22,768,792,103,40,40,0.9090909090909091,1.0,0.7225556969642639,2,0,0,ok
-a55Q6RWvTA$_$3,-a55Q6RWvTA,3,65,768,2206,998,111,111,1.0,1.0,0.7695939540863037,0,0,0,ok
-aNfi7CP8vM$_$7,-aNfi7CP8vM,7,18,768,852,593,43,43,1.0,1.0,0.7288879156112671,0,0,0,ok
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,0,14,768,1087,558,55,55,1.0,1.0,0.7747469544410706,0,0,0,ok
-dxfTGcXJoc$_$1,-dxfTGcXJoc,1,36,768,1600,769,81,81,1.0,1.0,0.7755885124206543,0,0,0,ok
-dxfTGcXJoc$_$0,-dxfTGcXJoc,0,42,768,2039,896,103,80,1.0,0.8095238095238095,0.7747880220413208,0,0,0,ok
-dxfTGcXJoc$_$2,-dxfTGcXJoc,2,35,768,1661,820,84,84,1.0,0.9428571428571428,0.7572613954544067,0,0,0,ok
-dxfTGcXJoc$_$6,-dxfTGcXJoc,6,27,768,1261,497,64,64,0.9629629629629629,1.0,0.7778878808021545,1,0,0,ok
-egA8-b7-3M$_$26,-egA8-b7-3M,26,15,768,590,416,30,30,1.0,1.0,0.7092276811599731,0,0,0,ok
-egA8-b7-3M$_$17,-egA8-b7-3M,17,16,768,708,418,36,36,1.0,1.0,0.7241460680961609,0,0,0,ok
-egA8-b7-3M$_$18,-egA8-b7-3M,18,22,768,825,549,42,42,1.0,1.0,0.726878821849823,0,0,0,ok
-egA8-b7-3M$_$16,-egA8-b7-3M,16,11,768,546,375,28,28,1.0,1.0,0.7189931273460388,0,0,0,ok
-egA8-b7-3M$_$13,-egA8-b7-3M,13,11,768,400,252,21,21,1.0,1.0,0.7198232412338257,0,0,0,ok
-egA8-b7-3M$_$1,-egA8-b7-3M,1,20,768,1014,680,51,51,1.0,0.95,0.7363067865371704,0,0,0,ok
-egA8-b7-3M$_$6,-egA8-b7-3M,6,12,768,616,432,32,32,1.0,1.0,0.7078647613525391,0,0,0,ok
-egA8-b7-3M$_$9,-egA8-b7-3M,9,10,768,492,338,25,25,1.0,1.0,0.7128279805183411,0,0,0,ok
-egA8-b7-3M$_$20,-egA8-b7-3M,20,20,768,645,399,33,33,1.0,0.95,0.7045899033546448,0,0,0,ok
-iRBcNs9oI8$_$3,-iRBcNs9oI8,3,8,768,552,396,28,17,1.0,0.75,0.7366189956665039,0,0,0,ok
-iRBcNs9oI8$_$7,-iRBcNs9oI8,7,9,768,399,300,20,13,1.0,1.0,0.6766316890716553,0,0,0,ok
-iRBcNs9oI8$_$6,-iRBcNs9oI8,6,5,768,280,227,15,10,1.0,1.0,0.7081214189529419,0,0,0,ok
-iRBcNs9oI8$_$9,-iRBcNs9oI8,9,5,768,335,193,17,13,1.0,0.8,0.699927031993866,0,0,0,ok
-iRBcNs9oI8$_$8,-iRBcNs9oI8,8,21,768,801,558,41,23,1.0,0.7142857142857143,0.7055964469909668,0,0,0,ok
-lzEya4AM_4$_$5,-lzEya4AM_4,5,19,768,755,388,39,39,1.0,1.0,0.7117114067077637,0,0,0,ok
-lzEya4AM_4$_$6,-lzEya4AM_4,6,43,768,1472,741,74,74,1.0,0.9767441860465116,0.7292854189872742,0,0,0,ok
-mJ2ud6oKI8$_$1,-mJ2ud6oKI8,1,13,768,603,0,31,0,0.0,0.0,0.4118534326553345,13,0,0,ok
-mJ2ud6oKI8$_$2,-mJ2ud6oKI8,2,11,768,568,0,29,19,0.0,0.9090909090909091,0.4127952456474304,11,0,0,ok
-mJ2ud6oKI8$_$6,-mJ2ud6oKI8,6,5,768,221,44,12,12,0.8,1.0,0.7128587961196899,1,0,0,ok
-mJ2ud6oKI8$_$9,-mJ2ud6oKI8,9,22,768,689,114,35,35,0.9545454545454546,1.0,0.7946355938911438,1,0,0,ok
-mJ2ud6oKI8$_$8,-mJ2ud6oKI8,8,11,768,415,96,21,21,0.9090909090909091,1.0,0.7018888592720032,2,0,0,ok
-mqbVkbCndg$_$0,-mqbVkbCndg,0,14,768,637,304,33,33,1.0,1.0,0.7508160471916199,0,0,0,ok
-t217m2on-s$_$2,-t217m2on-s,2,12,768,561,375,29,29,1.0,1.0,0.7332916855812073,0,0,0,ok
-t217m2on-s$_$7,-t217m2on-s,7,45,768,1701,993,86,86,1.0,0.9555555555555556,0.7486498355865479,0,0,0,ok
-tANM6ETl_M$_$3,-tANM6ETl_M,3,22,768,658,406,34,32,1.0,0.9090909090909091,0.7364963889122009,0,0,0,ok
-tPCytz4rww$_$11,-tPCytz4rww,11,17,768,536,191,28,28,1.0,1.0,0.7656601667404175,1,0,0,ok
-tPCytz4rww$_$10,-tPCytz4rww,10,12,768,466,130,24,24,1.0,1.0,0.7764347195625305,0,0,0,ok
-tPCytz4rww$_$12,-tPCytz4rww,12,26,768,1172,304,59,59,1.0,0.9615384615384616,0.7730162739753723,0,0,0,ok
-tPCytz4rww$_$16,-tPCytz4rww,16,16,768,712,262,36,36,1.0,0.9375,0.7577149868011475,0,0,0,ok
-tPCytz4rww$_$18,-tPCytz4rww,18,16,768,655,181,34,34,0.875,1.0,0.7784916162490845,2,0,0,ok
-vxjVxOeScU$_$4,-vxjVxOeScU,4,21,768,902,654,46,44,1.0,1.0,0.7541252970695496,0,0,0,ok
-wMB_hJL-3o$_$7,-wMB_hJL-3o,7,22,768,596,238,31,31,0.9545454545454546,0.9545454545454546,0.6946464776992798,1,0,0,ok
-wny0OAz3g8$_$1,-wny0OAz3g8,1,22,768,676,525,35,35,1.0,1.0,0.7196992039680481,0,0,0,ok
-wny0OAz3g8$_$0,-wny0OAz3g8,0,9,768,325,245,17,17,1.0,1.0,0.7289926409721375,0,0,0,ok
-wny0OAz3g8$_$3,-wny0OAz3g8,3,20,768,608,531,31,31,1.0,1.0,0.6938014626502991,0,0,0,ok
-wny0OAz3g8$_$2,-wny0OAz3g8,2,23,768,650,509,33,33,1.0,0.9565217391304348,0.6953691244125366,0,0,0,ok
-wny0OAz3g8$_$5,-wny0OAz3g8,5,20,768,672,511,34,34,1.0,1.0,0.7088412046432495,0,0,0,ok
-wny0OAz3g8$_$7,-wny0OAz3g8,7,29,768,789,617,40,40,1.0,0.8620689655172413,0.690535843372345,0,0,0,ok
-wny0OAz3g8$_$9,-wny0OAz3g8,9,20,768,602,496,31,31,1.0,0.95,0.6907722353935242,0,0,0,ok
-571d8cVauQ$_$0,-571d8cVauQ,0,12,768,497,213,26,23,1.0,0.9166666666666666,0.6921615600585938,0,0,0,ok
-571d8cVauQ$_$5,-571d8cVauQ,5,43,768,1510,829,76,76,1.0,0.9767441860465116,0.7227405905723572,0,0,0,ok
-I_e4mIh0yE$_$1,-I_e4mIh0yE,1,18,768,742,163,38,38,1.0,1.0,0.6989742517471313,0,0,0,ok
-I_e4mIh0yE$_$3,-I_e4mIh0yE,3,22,768,897,219,46,46,1.0,1.0,0.7291849255561829,0,0,0,ok
-UacrmKiTn4$_$10,-UacrmKiTn4,10,18,768,722,513,37,37,1.0,1.0,0.7207076549530029,0,0,0,ok
-UacrmKiTn4$_$4,-UacrmKiTn4,4,14,768,466,282,24,24,1.0,1.0,0.7369567155838013,0,0,0,ok
-hnBHBN8p5A$_$7,-hnBHBN8p5A,7,13,768,729,351,36,32,1.0,1.0,0.7341498732566833,0,0,0,ok
-hnBHBN8p5A$_$6,-hnBHBN8p5A,6,13,768,631,382,31,17,1.0,0.6923076923076923,0.7028372883796692,0,0,0,ok
-qDkUB0GgYY$_$6,-qDkUB0GgYY,6,16,768,459,342,24,24,1.0,0.9375,0.7092909812927246,0,0,0,ok
-uywlfIYOS8$_$4,-uywlfIYOS8,4,18,768,586,453,30,30,1.0,1.0,0.7057092189788818,0,0,0,ok
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,8,34,768,1272,459,64,64,1.0,0.9705882352941176,0.7393656969070435,0,0,0,ok
-9y-fZ3swSY$_$0,-9y-fZ3swSY,0,22,768,674,493,35,34,1.0,0.9545454545454546,0.7214956879615784,0,0,0,ok
-9y-fZ3swSY$_$4,-9y-fZ3swSY,4,9,768,264,158,14,14,1.0,1.0,0.7132362127304077,0,0,0,ok
-9y-fZ3swSY$_$8,-9y-fZ3swSY,8,12,768,490,299,25,15,1.0,0.5833333333333334,0.735573947429657,0,0,0,ok
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,2,41,768,2238,1166,113,113,1.0,1.0,0.7163442969322205,0,0,0,ok
-HeZS2-Prhc$_$2,-HeZS2-Prhc,2,16,768,813,541,41,41,1.0,1.0,0.7342689633369446,0,0,0,ok
-MeTTeMJBNc$_$0,-MeTTeMJBNc,0,21,768,920,518,47,46,1.0,1.0,0.7514187693595886,0,0,0,ok
-MeTTeMJBNc$_$13,-MeTTeMJBNc,13,14,768,524,254,27,27,1.0,0.9285714285714286,0.7440664172172546,0,0,0,ok
-MeTTeMJBNc$_$7,-MeTTeMJBNc,7,31,768,1039,644,53,53,1.0,0.967741935483871,0.7325955629348755,0,0,0,ok
-RfYyzHpjk4$_$11,-RfYyzHpjk4,11,17,768,505,359,26,24,1.0,0.9411764705882353,0.6900293231010437,0,0,0,ok
-RfYyzHpjk4$_$8,-RfYyzHpjk4,8,17,768,451,304,23,23,0.9411764705882353,0.9411764705882353,0.6777150630950928,1,0,0,ok
-RfYyzHpjk4$_$2,-RfYyzHpjk4,2,25,768,537,375,28,28,1.0,0.84,0.6849377155303955,0,0,0,ok
-UUCSKoHeMA$_$0,-UUCSKoHeMA,0,18,768,771,505,39,38,1.0,1.0,0.7271134257316589,0,0,0,ok
-ri04Z7vwnc$_$0,-ri04Z7vwnc,0,8,768,274,230,14,0,1.0,0.0,0.7043611407279968,0,0,0,ok
-ri04Z7vwnc$_$2,-ri04Z7vwnc,2,16,768,589,464,29,10,1.0,0.375,0.7053980827331543,0,0,0,ok
-ri04Z7vwnc$_$5,-ri04Z7vwnc,5,8,768,342,277,17,17,1.0,1.0,0.6759285926818848,0,0,0,ok
-s9qJ7ATP7w$_$1,-s9qJ7ATP7w,1,11,768,462,142,24,24,1.0,1.0,0.7363827228546143,0,0,0,ok
-s9qJ7ATP7w$_$0,-s9qJ7ATP7w,0,24,768,669,250,34,34,0.9583333333333334,1.0,0.6952524781227112,1,0,0,ok
-s9qJ7ATP7w$_$5,-s9qJ7ATP7w,5,19,768,838,365,43,41,1.0,0.9473684210526315,0.7271749377250671,0,0,0,ok
-s9qJ7ATP7w$_$4,-s9qJ7ATP7w,4,9,768,423,168,22,19,1.0,0.7777777777777778,0.735691249370575,0,0,0,ok
-s9qJ7ATP7w$_$7,-s9qJ7ATP7w,7,28,768,682,132,35,27,0.9642857142857143,0.6428571428571429,0.7414198517799377,1,0,0,ok
-s9qJ7ATP7w$_$6,-s9qJ7ATP7w,6,5,768,229,34,12,10,1.0,1.0,0.7651931047439575,0,0,0,ok
-s9qJ7ATP7w$_$8,-s9qJ7ATP7w,8,12,768,316,117,17,17,1.0,0.8333333333333334,0.7162407040596008,0,0,0,ok
-yRb-Jum7EQ$_$1,-yRb-Jum7EQ,1,49,768,2909,444,146,146,0.9795918367346939,1.0,0.7749214172363281,1,0,0,ok
-yRb-Jum7EQ$_$5,-yRb-Jum7EQ,5,25,768,1302,350,66,66,1.0,1.0,0.7903300523757935,0,0,0,ok
-yRb-Jum7EQ$_$6,-yRb-Jum7EQ,6,19,768,1122,299,56,54,1.0,1.0,0.7708860635757446,0,0,0,ok
